window_id,recording_id,participant,label,t_start
P02_B01_W000,P02_B01,P02,bumpy,5.072044189453125
P02_B01_W001,P02_B01,P02,bumpy,7.078395263671875
P02_B01_W002,P02_B01,P02,bumpy,9.084739013671877
P02_B01_W003,P02_B01,P02,bumpy,11.09107568359375
P02_B01_W004,P02_B01,P02,bumpy,13.0974052734375
P02_B01_W005,P02_B01,P02,bumpy,15.1037275390625
P02_B01_W006,P02_B01,P02,bumpy,17.11005029296875
P02_B01_W007,P02_B01,P02,bumpy,19.116369384765623
P02_B01_W008,P02_B01,P02,bumpy,21.12268310546875
P02_B01_W009,P02_B01,P02,bumpy,23.128998291015623
P02_B01_W010,P02_B01,P02,bumpy,25.135310791015623
P02_B01_W011,P02_B01,P02,bumpy,27.14161889648437
P02_B01_W012,P02_B01,P02,bumpy,29.147926025390625
P02_B01_W013,P02_B01,P02,bumpy,31.15423193359375
P02_B01_W014,P02_B01,P02,bumpy,33.160538330078126
P02_B01_W015,P02_B01,P02,bumpy,35.16684106445312
P02_B01_W016,P02_B01,P02,bumpy,37.17314013671875
P02_B01_W017,P02_B01,P02,bumpy,39.1794267578125
P02_B01_W018,P02_B01,P02,bumpy,41.1857119140625
P02_B01_W019,P02_B01,P02,bumpy,43.19199877929688
P02_B01_W020,P02_B01,P02,bumpy,45.1982880859375
P02_B01_W021,P02_B01,P02,bumpy,47.2045673828125
P02_B01_W022,P02_B01,P02,bumpy,49.21084545898437
P02_B01_W023,P02_B01,P02,bumpy,51.21712231445313
P02_B01_W024,P02_B01,P02,bumpy,53.223398681640624
P02_B01_W025,P02_B01,P02,bumpy,55.22967138671875
P02_B01_W026,P02_B01,P02,bumpy,57.235940673828125
P02_B01_W027,P02_B01,P02,bumpy,59.2422060546875
P02_B01_W028,P02_B01,P02,bumpy,61.24846997070313
P02_B01_W029,P02_B01,P02,bumpy,63.25473046875
P02_B01_W030,P02_B01,P02,bumpy,65.26098876953125
P02_B01_W031,P02_B01,P02,bumpy,67.2672451171875
P02_B01_W032,P02_B01,P02,bumpy,69.27349853515625
P02_B01_W033,P02_B01,P02,bumpy,71.27974926757813
P02_B02_W000,P02_B02,P02,bumpy,5.060398681640625
P02_B02_W001,P02_B02,P02,bumpy,7.066801513671875
P02_B02_W002,P02_B02,P02,bumpy,9.073197509765626
P02_B02_W003,P02_B02,P02,bumpy,11.0795869140625
P02_B02_W004,P02_B02,P02,bumpy,13.08596923828125
P02_B02_W005,P02_B02,P02,bumpy,15.092343017578123
P02_B02_W006,P02_B02,P02,bumpy,17.09871044921875
P02_B02_W007,P02_B02,P02,bumpy,19.105066650390626
P02_B02_W008,P02_B02,P02,bumpy,21.111410400390625
P02_B02_W009,P02_B02,P02,bumpy,23.11775048828125
P02_B02_W010,P02_B02,P02,bumpy,25.12408471679688
P02_B02_W011,P02_B02,P02,bumpy,27.13041455078125
P02_B02_W012,P02_B02,P02,bumpy,29.136741455078123
P02_B02_W013,P02_B02,P02,bumpy,31.143064697265626
P02_B02_W014,P02_B02,P02,bumpy,33.149385498046875
P02_B02_W015,P02_B02,P02,bumpy,35.15570068359375
